Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
2 || 94344,00 || 408 || 100 || 2648,00 || 2 || 640 || 7
2 || 95272,00 || 946 || 100 || 2244,00 || 2 || 640 || 17
2 || 94000,00 || 1654 || 100 || 2920,00 || 2 || 640 || 30
2 || 96124,00 || 395 || 100 || 1978,00 || 2 || 640 || 7
2 || 93344,00 || 631 || 100 || 3118,00 || 2 || 640 || 11
2 || 94880,00 || 1738 || 100 || 2610,00 || 2 || 640 || 18
2 || 96372,00 || 624 || 100 || 1874,00 || 2 || 640 || 11
2 || 95512,00 || 800 || 100 || 2324,00 || 2 || 640 || 14
2 || 95308,00 || 850 || 100 || 2256,00 || 2 || 640 || 15
2 || 93832,00 || 616 || 100 || 2674,00 || 2 || 640 || 11
