Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 94344.00 || 204 || 100 || 2648.00 || 2 || 560 || 7
1 || 95272.00 || 555 || 100 || 2244.00 || 2 || 560 || 17
1 || 94000.00 || 840 || 100 || 2920.00 || 2 || 560 || 30
1 || 96124.00 || 232 || 100 || 1978.00 || 2 || 560 || 7
1 || 93344.00 || 327 || 100 || 3118.00 || 2 || 560 || 11
1 || 94880.00 || 503 || 100 || 2610.00 || 2 || 560 || 18
1 || 96372.00 || 366 || 100 || 1874.00 || 2 || 560 || 11
1 || 95512.00 || 478 || 100 || 2324.00 || 2 || 560 || 14
1 || 95308.00 || 493 || 100 || 2256.00 || 2 || 560 || 15
1 || 93832.00 || 333 || 100 || 2674.00 || 2 || 560 || 11
