Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 57272,00 || 396 || 100 || 2648,00 || 16 || 640 || 7
2 || 63856,00 || 948 || 100 || 2244,00 || 16 || 640 || 17
3 || 53120,00 || 1676 || 100 || 2920,00 || 16 || 640 || 30
4 || 68432,00 || 398 || 100 || 1978,00 || 16 || 640 || 7
5 || 49692,00 || 603 || 100 || 3118,00 || 16 || 640 || 11
6 || 58340,00 || 996 || 100 || 2610,00 || 16 || 640 || 18
7 || 70136,00 || 663 || 100 || 1874,00 || 16 || 640 || 11
8 || 62976,00 || 1464 || 100 || 2324,00 || 16 || 640 || 14
9 || 63724,00 || 868 || 100 || 2256,00 || 16 || 640 || 15
10 || 56396,00 || 617 || 100 || 2674,00 || 16 || 640 || 11
