Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 89048.00 || 220 || 100 || 2648.00 || 4 || 640 || 7
2 || 90784.00 || 542 || 100 || 2244.00 || 4 || 640 || 17
3 || 88160.00 || 921 || 100 || 2920.00 || 4 || 640 || 30
4 || 92168.00 || 224 || 100 || 1978.00 || 4 || 640 || 7
5 || 87108.00 || 344 || 100 || 3118.00 || 4 || 640 || 11
6 || 89660.00 || 536 || 100 || 2610.00 || 4 || 640 || 18
7 || 92624.00 || 347 || 100 || 1874.00 || 4 || 640 || 11
8 || 90864.00 || 490 || 100 || 2324.00 || 4 || 640 || 14
9 || 90796.00 || 504 || 100 || 2256.00 || 4 || 640 || 15
10 || 88484.00 || 350 || 100 || 2674.00 || 4 || 640 || 11
